Temperature ,Humidity,Rainfall (mm),Wind Speed (km/h),Disease Spread Speed
21.82,49.14,74.04,6.66,Low
26.3,36.62,70.91,33.07,Low
32.71,59.76,123.93,25.45,Low
20.48,35.78,21.32,47.91,Low
29.96,89.14,153.49,25.07,Low
33.06,87.39,87.21,0.91,High
20.75,80.91,20.45,16.2,Low
24.81,66.33,147.12,6.77,Low
17.87,42.28,128.65,9.37,Low
24.02,40.63,89.7,21,Low
35.23,46.81,158.74,44.78,Low
19.83,31.66,161.68,36.41,Low
38.59,54.39,66.23,44.05,Low
36.65,45.29,69.87,6.86,Low
18.68,88.68,58.51,18.02,Low
22.64,70.39,54.55,48.38,Low
17.82,43.66,72.7,1.14,Low
28.42,44.93,88.65,4.78,Low
27.49,54.18,58.18,15.2,Low
36.25,61.11,109.84,18.68,High
26.24,50.62,145.4,16.01,Low
22.16,67.41,6.11,44.54,Low
34.85,58.75,196.99,41.53,Low
29.24,48.1,123.72,12.24,Low
31.63,48.09,99.4,30.5,Low
31.18,38.08,190.47,29.89,Low
26.72,55.31,64.37,39.18,Low
24.37,82.69,2.62,35.03,Low
20.4,53.96,177.72,47.15,Low
26.25,65.94,32.4,18.83,Low
24.97,60.27,199.45,10.79,Low
31.86,75.3,121.27,19.93,High
24.85,50.17,45.09,1.58,Medium
19.56,69.25,7.17,44.71,Low
29.07,73.54,42.88,27.59,Low
23.73,50.29,98.6,2.98,Low
15.03,86.88,98.44,13.25,Low
17.45,88.44,31.18,46.2,Low
37.12,52.05,48.18,10.18,Low
24.32,31.29,107.14,32.38,Low
33.1,89.54,56.26,28.72,High
38.27,78.08,153.39,17.91,High
39.2,68.71,185.69,6.47,High
30.5,40.21,62.6,0.56,Low
36.06,66.49,124.53,11.09,High
26.31,52.11,77.92,3.79,Low
38.7,71.62,163.13,41.79,High
23.45,61.68,101.16,18.9,Low
24.78,34.9,134.74,24.8,Low
28.91,50.95,96.67,30.17,Low
16.97,84.57,172.29,31.57,Low
30.79,65.03,46.83,4.21,Low
23.83,34.14,92.77,46.55,Low
28.09,68.36,5.4,5.74,Low
17.16,87.41,55.37,11.22,Low
39.15,45.01,130.36,48.5,Low
24.46,71.23,19.41,17.51,Low
35.03,58.66,138.2,6.73,Low
35.16,73.1,139.11,26.6,High
28.03,82.37,90.17,37.53,Low
31.42,38.77,17.38,28.42,Low
39,52.64,155.41,39.56,Low
38.1,32.43,121.03,2.34,Low
33.53,84.15,30.42,14.81,Low
31.95,68.26,138.98,5.41,High
20.21,82.82,46.86,8.21,Low
28.65,53.73,155.94,49.57,Low
23.44,79.36,10.18,41.48,Low
16.74,49.27,88.88,9.16,Low
35.91,56.12,125.92,38.47,Low
15.27,68.17,132.07,22.43,Low
23.4,56.98,8.46,35.85,Low
19.21,47.74,33.21,49.2,Low
33.21,66.72,102.72,21.62,High
35.96,59.22,115.77,44.6,Low
19.43,47.95,58.26,17.02,Low
17.16,41.77,147.78,26.52,Low
25.03,60.81,179.65,24.11,Low
20.15,34.96,88.5,45.04,Low
19.42,60.65,164.05,8.07,Low
32.08,56.3,69.25,38.1,Low
21.56,63.09,103.15,30.66,Low
27.99,40.43,38.65,37.42,Medium
27.04,58.2,143.14,17.22,Low
24.9,79.7,74.43,49.4,Low
25.22,40.64,108.1,27.83,Low
17.06,50.09,42.41,28.66,Low
29.03,56.66,3.34,32.93,Low
29.48,73.41,80.28,44.91,Low
27.88,63.31,151.73,25.05,Low
35.94,35.6,44.18,10.36,Low
32.37,75.35,104.12,35.81,High
29.47,56.49,100.89,22.79,Low
18.65,37.85,98.58,40.12,Low
20.52,85.54,140.79,41.11,Low
15.15,53.67,13.9,12.02,Low
38,43.45,87.8,0.43,Low
31.93,48.7,108.15,13.56,Low
31.64,42.5,86.25,24.86,Low
27.02,89.17,47.12,19.57,Low
37.43,44.48,122.19,48.47,Low
38.89,45.77,157.66,25.2,Low
36.62,80.02,193.5,26.39,High
21.08,48.32,99.26,21.36,Low
32.96,56.58,40.05,35.11,Low
15.58,42.72,18.25,9.11,Low
38.66,81.95,2.01,27.47,Low
37.42,53.33,154.03,31.96,Low
27.85,81.67,199,5.06,Low
24.82,44.85,35.06,11.79,Medium
16.43,70.12,97.91,27.92,Low
21.69,52.98,132.13,5.04,Low
29.14,34.36,39.21,43.31,Low
35.87,86.85,164.48,28.16,High
38.26,64.6,150.29,13.73,High
16.47,55.15,92.69,21.28,Low
16.94,81.45,107.9,10.44,Low
34.49,55.26,108.4,16.7,Low
18.56,42.3,15.06,30.49,Low
28.26,55.23,17.36,1.05,Medium
34.37,37.55,41.15,18.38,Low
32.39,57.42,191.34,27.62,Low
38.72,70.18,106.49,3.09,High
37.56,50.74,192.9,6.14,Low
26.2,71.54,138.97,39.69,Low
