Date,Latitude,Longitude,Temperature_C,Humidity_%,Wind_Speed_kmph,Spread_Percentage,Risk_Level
13/04/2025,9.723621,81.560418,25.9,70.7,12.49,43.268,Low
02/05/2025,9.298887,81.527154,32.2,86.3,24.01,63.332,Low
24/04/2025,8.815354,80.643514,32.5,83.5,19.64,56.968,Low
28/04/2025,8.089452,80.762,25.6,74.1,16.97,50.004,Low
06/04/2025,9.545879,81.515049,25.8,82.3,8.12,42.664,Medium
02/05/2025,8.210804,80.990247,34.9,63.8,8.12,35.264,Low
14/04/2025,6.331565,80.357993,27.6,86.9,6.16,42.152,Low
09/04/2025,6.06056,81.658604,29.9,82.6,22.32,59.824,Medium
21/04/2025,7.841579,80.351679,33.4,79.7,17.02,52.304,Low
06/05/2025,7.444866,80.069851,29.7,65.1,19.16,49.032,Medium
06/05/2025,7.716766,80.322761,34.4,84,5.41,40.092,Low
26/04/2025,9.592003,81.396922,28.9,67.9,24.4,56.44,Medium
25/04/2025,6.540758,80.955052,27.6,68.9,21.65,53.54,High
06/04/2025,7.993833,79.997724,28.4,68.8,9.25,38.62,Medium
07/04/2025,8.48018,80.417726,33.5,83.4,8.64,43.728,Low
23/04/2025,6.950443,80.239757,32.1,73.3,8.67,39.724,Low
12/04/2025,8.504391,81.556447,27.7,74,11.08,42.896,Low
25/04/2025,7.275557,80.909546,25.9,81,15.5,51,Low
23/04/2025,8.860538,80.554006,28.4,83.1,13.64,49.608,Low
03/05/2025,8.465819,79.851181,29.3,72.5,10.82,41.984,Low
19/04/2025,8.02639,81.27002,34.5,74.9,17.24,50.648,High
25/04/2025,6.155363,80.699502,25.8,79.1,7.79,40.988,Medium
25/04/2025,9.030173,81.239681,29.4,65.6,10.84,39.248,High
23/04/2025,7.342833,80.182277,34.6,85.8,12.33,49.116,Medium
24/04/2025,7.470785,81.258951,26.7,72.8,14.12,46.064,High
25/04/2025,8.958935,80.899701,25.5,69,20.7,52.44,High
30/04/2025,6.734664,80.570099,33.7,87.9,8.99,45.948,Low
16/04/2025,6.000236,80.557714,33.4,79.4,15.28,50.096,Low
04/05/2025,9.558151,80.491232,29.9,85.5,16.85,54.42,Medium
16/04/2025,7.237086,80.229061,33,84.2,5.93,40.796,Low
29/04/2025,8.499638,81.127056,33.7,66.3,17.15,47.1,Medium
05/05/2025,6.552871,80.703428,29.7,76.9,8.41,40.852,Medium
24/04/2025,8.640149,80.195887,31.4,68,6.3,34.76,High
23/04/2025,8.915072,81.31165,25.3,89.4,23.98,64.536,High
24/04/2025,6.407521,80.241836,26.3,65.2,24.31,55.252,Low
15/04/2025,9.632225,81.406148,35,69.4,21.17,53.164,Medium
23/04/2025,7.135802,80.436882,26.6,75.7,11.09,43.588,High
03/05/2025,6.47935,80.658883,33.5,83.3,6.95,41.66,Medium
27/04/2025,9.467421,81.374767,34.5,62,18.68,47.216,Medium
20/04/2025,9.15334,80.607784,30.4,87.3,13.8,51.48,Medium
13/04/2025,8.783293,81.100419,29.8,70.9,7.44,37.288,Low
17/04/2025,8.790958,81.342025,28.7,67.9,14.9,45.04,Low
24/04/2025,7.551919,81.429575,34,77.8,5.69,37.948,Low
01/05/2025,6.757083,80.181035,28.5,76,23.19,58.228,Low
27/04/2025,9.282944,81.518806,34.4,68.7,10.18,39.696,Low
19/04/2025,9.231935,80.582032,33.6,71.5,18.25,50.5,Low
05/05/2025,7.66605,81.898801,26.7,67.9,11.23,40.636,Low
18/04/2025,6.424882,81.891752,27.1,68.3,15.4,45.8,Low
26/04/2025,9.556538,80.69753,26.4,82.9,15.93,52.276,Low
14/04/2025,9.377777,81.462975,34.3,79.2,8.7,42.12,Medium
10/04/2025,6.782696,80.237551,28.6,88.9,24.39,64.828,Medium
03/05/2025,5.936827,81.528323,33.9,69.4,20.5,52.36,Low
29/04/2025,8.507309,81.13355,25,82.7,23.79,61.628,Medium
26/04/2025,6.566874,81.146969,34.4,63.1,22.9,52.72,Medium
27/04/2025,7.782603,81.866051,33.8,71.5,16.96,48.952,High
30/04/2025,8.147049,81.422748,29.7,80.4,23.44,60.288,Medium
27/04/2025,9.261213,81.5249,26,81.3,6.77,40.644,Low
20/04/2025,9.531072,81.624964,28.9,88.5,8.92,46.104,High
20/04/2025,9.126268,81.407923,34.5,81.9,5.9,39.84,High
15/04/2025,6.106687,80.701162,25.3,60.7,11.51,38.092,High
11/04/2025,9.782443,81.530295,32.8,74.7,12.77,45.204,Low
14/04/2025,8.341284,81.171276,31.4,68.8,10.43,40.036,Medium
22/04/2025,8.378655,80.608472,26.9,86.8,21.57,60.604,Low
14/04/2025,9.024695,80.893236,28,84.1,12.14,48.208,Low
16/04/2025,6.878806,81.035756,34.4,65,10.62,38.744,High
23/04/2025,9.465478,79.971452,27.9,81.3,15.85,51.54,Low
26/04/2025,7.932988,80.799604,25.6,69.2,7.82,37.064,Medium
02/05/2025,8.657927,80.3174,30.9,77.4,21.04,56.208,Low
24/04/2025,8.398891,80.695196,32.5,84,6.49,41.388,Medium
29/04/2025,8.96699,81.257335,33.4,70.3,24.74,57.808,Low
12/04/2025,8.301808,80.938894,29.7,83.6,20.44,57.968,Low
11/04/2025,6.08259,80.429096,27.6,85.2,8.97,44.844,Low
09/04/2025,7.053,81.578222,26,87.7,5.11,41.212,High
04/05/2025,6.400043,79.918689,31.8,86.3,21.31,60.092,Low
28/04/2025,9.767926,79.990801,30.6,60.9,19.14,47.328,Medium
06/05/2025,9.585781,81.820396,27.6,63.1,19.58,48.736,Low
23/04/2025,6.497042,81.228608,25.9,76.6,20.43,55.156,Low
01/05/2025,7.218869,80.37438,29.3,73.8,6.48,37.296,Low
18/04/2025,8.247358,80.655707,27.8,73,12.17,43.804,Low
10/04/2025,7.228036,80.34972,30.8,68.4,7.32,36.144,Medium
16/04/2025,9.547388,81.822469,30,63.1,22.26,51.952,High
23/04/2025,6.330306,79.883475,27.1,86.5,17.47,55.564,Low
28/04/2025,7.641618,80.325256,26.5,71.8,11.62,42.664,Low
08/04/2025,9.088593,80.641908,32.7,87.6,6.27,42.564,Low
09/04/2025,6.585872,80.632848,33.3,71,11.22,41.864,Low
04/05/2025,9.075979,81.520338,30.2,71.9,11.5,42.56,Low
16/04/2025,6.211266,80.070843,31.2,74,19.59,53.108,Low
07/04/2025,7.937034,81.329951,30.3,68.6,17.75,48.74,Medium
02/05/2025,8.587909,81.616323,32.3,68.6,22.74,54.728,Low
10/04/2025,8.155593,80.22856,34.7,62.2,14.44,42.208,High
01/05/2025,6.850442,81.302618,25.7,81.4,7.39,41.428,Low
24/04/2025,7.187837,81.703037,34,87.4,19.26,58.072,Medium
18/04/2025,6.073397,80.075077,30.7,60,20.22,48.264,High
13/04/2025,7.350067,81.832463,34.6,82.8,16.23,52.596,Low
10/04/2025,7.460712,80.702852,30.6,74.9,20.42,54.464,Low
12/04/2025,9.224984,80.470796,27,78.2,14.88,49.136,Low
26/04/2025,7.949769,80.85195,25,69.7,15.45,46.42,Medium
11/04/2025,7.691089,81.264614,30.2,68.6,13.55,43.7,Low
18/04/2025,9.689361,81.188843,28.3,77.4,5.51,37.572,Low
04/05/2025,7.02285,80.236968,28.9,66.8,7.16,35.312,Medium
